nombre,bloque,provincia,votacion_final1,apellido,genero,poroteo,fuente_poroteo,twitter,fecha_nac,votacion_final0,edad
"massa, sergio",frente de todos,buenos aires,presidente,massa,Varón,abstención/ausente,https://twitter.com/natumader/status/1161397048018649091?s=20,@SergioMassa,1972-04-28,presidente,48
"matarazzo, norma",frente de todos,santiago del estero,negativo,matarazzo,Mujer,en contra,voto en diputados,NA,1948-04-13,negativo,72
"aicega, juan",pro,buenos aires,negativo,aicega,Varón,en contra,voto en diputados,@jaicega,1963-06-15,negativo,57
"allende, walberto",frente de todos,san juan,negativo,allende,Varón,en contra,voto en diputados,NA,1955-06-09,negativo,65
"sbodio, karim",frente de todos,san luis,negativo,sbodio,Varón,en contra,voto en diputados,NA,1981-03-31,negativo,39
"alvarez, felipe",accion federal,la rioja,negativo,alvarez,Varón,en contra,https://twitter.com/AdrianLaRioja/status/1143929934655774720,@FelipeAlvarezLR,1980-12-15,negativo,40
"amaya, domingo",pro,tucuman,negativo,amaya,Varón,en contra,https://www.lagaceta.com.ar/nota/814320/actualidad/precandidatos-fijan-postura-ante-discusion-interrupcion-voluntaria-embarazo.html,@DomingoAmayaOk,1958-08-25,negativo,62
"angelini, federico",pro,santa fe,negativo,angelini,Varón,en contra,https://twitter.com/Walterghione/status/1109582138712748034?s=20,@fangelini,1977-02-19,negativo,43
"ansaloni, pablo",unidad y equidad federal,buenos aires,negativo,ansaloni,Varón,en contra,voto en diputados,NA,1971-05-09,negativo,49
"arce, mario",union civica radical,formosa,negativo,arce,Varón,en contra,voto en diputados,NA,1975-11-06,negativo,45
"ascarate, lidia",union civica radical,tucuman,negativo,ascarate,Mujer,en contra,http://www.lagaceta.com.ar/nota/820934/lg-play/legalizacion-aborto-entre-la-marea-verde-lucha-las-dos-vidas.html,@AscarateLidia,1951-01-24,negativo,69
"asseff, alberto",pro,buenos aires,negativo,asseff,Varón,en contra,http://airevision.com.ar/2019/06/23/alberto-asseff-voy-a-votar-en-contra-de-la-legalizacion-del-aborto/,@DiputadoAsseff,1942-10-31,negativo,78
"avila, beatriz",partido por la justicia social,tucuman,negativo,avila,Mujer,en contra,voto en diputados,@Beatriz_AvilaOK,1966-05-10,negativo,54
"ayala, aida",union civica radical,chaco,negativo,ayala,Mujer,en contra,https://twitter.com/Carito_Ramos/status/1326214480175509504?s=20,@AidaAyala,1953-06-21,negativo,67
"baldassi, hector",pro,cordoba,negativo,baldassi,Varón,en contra,voto en diputados,@HectorBaldassi,1966-05-01,negativo,54
"berhongaray, martin",union civica radical,la pampa,negativo,berhongaray,Varón,en contra,segun su exposición.en diputados,@MBerhongaray,1978-03-06,negativo,42
"berisso, hernan",pro,buenos aires,negativo,berisso,Varón,en contra,voto en diputados,@hernanberisso,1970-09-02,negativo,50
"bertone, rosana",frente de todos,tierra del fuego,negativo,bertone,Mujer,en contra,https://viapais.com.ar/ushuaia/498332-la-gobernadora-de-tierra-del-fuego-rosana-bertone-se-manifesto-en-contra-del-aborto-legal/,@RosanaBertone,1972-09-05,negativo,48
"brambilla, sofia",pro,corrientes,negativo,brambilla,Mujer,en contra,https://www.radiodos.com.ar/69284-sofia-brambilla-confirmo-que-votara-en-contra-del-proyecto-de-aborto-impulsado-por-el-gobierno-nacional,@Sofiabrambilla,1980-03-16,negativo,40
"moral, eduardo",frente civico y social de catamarca,catamarca,negativo,moral,Varón,en contra,voto en diputados,NA,1944-08-20,negativo,76
"brue, daniel",frente de todos,santiago del estero,negativo,brue,Varón,en contra,https://www.pagina12.com.ar/diario/sociedad/3-142993-2010-03-31.html,@danielbrue,1964-12-28,negativo,56
"burgos, maria",union civica radical,jujuy,negativo,burgos,Mujer,en contra,voto en diputados,@mabyburgos,1971-03-06,negativo,49
"buryaile, ricardo",union civica radical,formosa,negativo,buryaile,Varón,en contra,Medios,@BuryaileRicardo,1970-01-01,negativo,50
"camano, graciela",consenso federal,buenos aires,negativo,camano,Mujer,en contra,Votó en diputados,@dipGCamanio,1953-04-25,negativo,67
"campagnoli, marcela",coalicion civica,buenos aires,negativo,campagnoli,Mujer,en contra,voto en diputados,@m_campagnoli,1957-11-11,negativo,63
"campos, javier",coalicion civica,buenos aires,negativo,campos,Varón,en contra,voto en diputados,@javiercamposok,1958-06-27,negativo,62
"cano, jose",union civica radical,tucuman,negativo,cano,Varón,en contra,voto en diputados,@JCanoOK,1965-07-15,negativo,55
